page_path,page_title,t30d_page_views,x,y,z
/t/admin-password-reset/19455,Admin password reset - Grafana / Authentication - Grafana Labs Community Forums,4522,-5.647021,3.140558,-1.9468865
/t/export-to-excel-csv/28973,Export to Excel/CSV - General - Grafana Labs Community Forums,3752,-1.3427589,-2.848431,-2.319665
/t/how-to-rename-values-in-grafana-using-regex-based-value-mapping/53616,How to Rename Values in Grafana Using Regex-Based Value Mapping - Grafana / How To - Grafana Labs Community Forums,3099,3.1435952,1.4452151,4.8431168
/t/how-to-use-alert-message-templates-in-grafana/67537,How To Use Alert Message Templates in Grafana - Grafana / Alerting - Grafana Labs Community Forums,1680,0.010042397,6.742872,0.70163983
/t/how-to-get-the-time-range-selected-on-the-dashboard-into-a-variable/2868,How to get the time range selected on the dashboard into a variable - Grafana / Stat Panel - Grafana Labs Community Forums,2843,7.512376,-1.8929127,-0.42539617
/t/how-to-get-no-data-to-0-when-there-is-no-data-value/64845,How to get NO DATA to 0 when there is no data value. - Grafana / Configuration - Grafana Labs Community Forums,3165,5.3271246,1.8198637,-1.0144424
/t/how-can-i-embed-grafana-dashboards-in-web-application/61297,How can I embed grafana dashboards in web application? - Grafana / Authentication - Grafana Labs Community Forums,1175,-1.2489067,-0.63900554,-4.0187807
/t/how-do-we-get-grafana-to-use-this-date-format-dd-mm-yyyy-hh-mm-ss-timestamp/54666,How do we get grafana to use this date format: dd/mm/yyyy hh: mm: ss (timestamp) - Grafana / Time Series Panel - Grafana Labs Community Forums,1707,6.4969497,-1.7020706,1.6734871
/t/problem-with-debian-repository-key/79788,Problem with debian repository key - Grafana / Installation - Grafana Labs Community Forums,1405,-4.508039,-0.6484272,-0.25631228
/t/setting-different-panels-to-different-time-ranges-in-a-single-dashboard/37408,Setting different panels to different time ranges in a single dashboard - Grafana / Dashboards - Grafana Labs Community Forums,1766,7.342129,-1.8342144,-1.107329
/t/how-to-get-the-latest-value-from-range-based-on-time/4907,"How to get the latest value from range, based on time - General - Grafana Labs Community Forums",1941,4.658857,-1.6713833,1.3804548
